pressure,temperature,vf,vg,hf,hg,sf,sg
1,6.9696,0.001,129.1783,29.2986,2513.6672,0.1059,8.9749
1.5,13.02,0.001001,87.964,54.688,2524.7,0.1956,8.827
2,17.5,0.001001,66.99,73.433,2532.9,0.2606,8.7227
2.5,21.08,0.001002,54.242,88.424,2539.4,0.3118,8.6421
3,24.08,0.001003,45.654,100.98,2544.8,0.3543,8.5765
4,28.96,0.001004,34.791,121.39,2553.7,0.4224,8.4734
5,32.87,0.001005,28.185,137.75,2560.7,0.4762,8.3938
7.5,40.29,0.001008,19.233,168.75,2574,0.5763,8.2501
10,45.81,0.00101,14.67,191.81,2583.9,0.6492,8.1488
15,53.97,0.001014,10.02,225.94,2598.3,0.7549,8.0071
20,60.06,0.001017,7.6481,251.42,2608.9,0.832,7.9073
25,64.96,0.00102,6.2034,271.96,2617.5,0.8932,7.8302
30,69.09,0.001022,5.2287,289.27,2624.6,0.9441,7.7675
40,75.86,0.001026,3.9933,317.62,2636.1,1.0261,7.6691
50,81.32,0.00103,3.2403,340.54,2645.2,1.0912,7.5931
75,91.76,0.001037,2.2172,384.44,2662.4,1.2132,7.4558
100,99.61,0.001043,1.6941,417.51,2675,1.3028,7.3589
101.325,99.97,0.001043,1.6734,419.06,2675.6,1.3069,7.3545
125,105.97,0.001048,1.375,444.36,2684.9,1.3741,7.2841
150,111.35,0.001053,1.1594,467.13,2693.1,1.4337,7.2231
175,116.04,0.001057,1.0037,487.01,2700.2,1.485,7.1716
200,120.21,0.001061,0.88578,504.71,2706.3,1.5302,7.127
221.63,123.4872,0.0011,0.8045,518.6361,2710.9469,1.5654,7.0926
225,123.97,0.001064,0.79329,520.71,2711.7,1.5706,7.0877
250,127.41,0.001067,0.71873,535.35,2716.5,1.6072,7.0525
275,130.58,0.00107,0.65732,548.86,2720.9,1.6408,7.0207
300,133.52,0.001073,0.60582,561.43,2724.9,1.6717,6.9917
325,136.27,0.001076,0.56199,573.19,2728.6,1.7005,6.965
350,138.86,0.001079,0.52422,584.26,2732,1.7274,6.9402
375,141.3,0.001081,0.49133,594.73,2735.1,1.7526,6.9171
400,143.61,0.001084,0.46242,604.66,2738.1,1.7765,6.8955
442.26,147.2645,0.0011,0.4207,620.3859,2742.6032,1.8139,6.8618
450,147.9,0.001088,0.41392,623.14,2743.4,1.8205,6.8561
500,151.83,0.001093,0.37483,640.09,2748.1,1.8604,6.8207
550,155.46,0.001097,0.34261,655.77,2752.4,1.897,6.7886
600,158.83,0.001101,0.3156,670.38,2756.2,1.9308,6.7593
650,161.98,0.001104,0.2926,684.08,2759.6,1.9623,6.7322
700,164.95,0.001108,0.27278,697,2762.8,1.9918,6.7071
750,167.75,0.001111,0.25552,709.24,2765.7,2.0195,6.6837
800,170.41,0.001115,0.24035,720.87,2768.3,2.0457,6.6616
850,172.94,0.001118,0.2269,731.95,2770.8,2.0705,6.6409
883.52,174.5666,0.0011,0.2187,739.1157,2772.3027,2.0864,6.6276
900,175.35,0.001121,0.21489,742.56,2773,2.0941,6.6213
950,177.66,0.001124,0.20411,752.74,2775.2,2.1166,6.6027
1000,179.88,0.001127,0.19436,762.51,2777.1,2.1381,6.585
1100,184.06,0.001133,0.17745,781.03,2780.7,2.1785,6.552
1104.15,184.2289,0.0011,0.1768,781.7683,2780.785,2.1801,6.5507
1200,187.96,0.001138,0.16326,798.33,2783.8,2.2159,6.5217
1300,191.6,0.001144,0.15119,814.59,2786.5,2.2508,6.4936
1324.78,192.4747,0.0011,0.1485,818.4831,2787.0777,2.2591,6.487
1400,195.04,0.001149,0.14078,829.96,2788.9,2.2835,6.4675
1500,198.29,0.001154,0.13171,844.55,2791,2.3143,6.443
1545.41,199.7066,0.0012,0.128,850.9488,2791.83,2.3278,6.4323
1750,205.72,0.001166,0.11344,878.16,2795.2,2.3844,6.3877
1766.04,206.1733,0.0012,0.1124,880.2077,2795.436,2.3887,6.3844
1986.67,212.0393,0.0012,0.1002,906.9514,2798.1527,2.4436,6.3415
2000,212.38,0.001177,0.099587,908.47,2798.3,2.4467,6.339
2207.3,217.42,0.0012,0.0904,931.6641,2800.1577,2.4937,6.3025
2250,218.41,0.001187,0.088717,936.21,2800.5,2.5029,6.2954
2427.93,222.3994,0.0012,0.0823,954.6991,2801.5782,2.5399,6.2668
2500,223.95,0.001197,0.079952,961.87,2801.9,2.5542,6.2558
2648.56,227.0408,0.0012,0.0755,976.3225,2802.509,2.5828,6.2338
2869.19,231.3931,0.0012,0.0697,996.7404,2803.0223,2.6229,6.203
3000,233.85,0.001217,0.066667,1008.3,2803.2,2.6454,6.1856
3089.82,235.4949,0.0012,0.0647,1016.1156,2803.1746,2.6606,6.174
3310.45,239.3774,0.0012,0.0604,1034.5794,2803.0106,2.6963,6.1467
3500,242.56,0.001235,0.057061,1049.7,2802.7,2.7253,6.1244
3531.08,243.0661,0.0012,0.0565,1052.2392,2802.5664,2.7301,6.1208
3751.71,246.582,0.0012,0.0532,1069.1842,2801.8717,2.7623,6.0961
3972.34,249.9429,0.0013,0.0501,1085.4893,2800.9509,2.793,6.0725
4000,250.35,0.001252,0.049779,1087.4,2800.8,2.7966,6.0696
4192.97,253.1637,0.0013,0.0474,1101.218,2799.8246,2.8225,6.0498
4413.6,256.2573,0.0013,0.045,1116.4248,2798.51,2.8507,6.028
4634.23,259.2349,0.0013,0.0427,1131.1567,2797.0219,2.878,6.007
4854.86,262.106,0.0013,0.0407,1145.4547,2795.3727,2.9042,5.9867
5000,263.94,0.001286,0.039448,1154.5,2794.2,2.9207,5.9737
5075.49,264.879,0.0013,0.0388,1159.3547,2793.5733,2.9296,5.967
5296.12,267.5614,0.0013,0.0371,1172.8883,2791.6331,2.9541,5.9479
5516.75,270.1597,0.0013,0.0355,1186.0837,2789.5602,2.978,5.9293
5737.38,272.6799,0.0013,0.0341,1198.966,2787.3616,3.0011,5.9111
5958.01,275.1271,0.0013,0.0327,1211.5576,2785.0437,3.0236,5.8934
6000,275.59,0.001319,0.032449,1213.8,2784.6,3.0275,5.8902
6178.64,277.506,0.0013,0.0314,1223.8787,2782.6118,3.0455,5.8762
6399.27,279.8209,0.0013,0.0302,1235.9478,2780.0706,3.0668,5.8592
6619.9,282.0756,0.0013,0.0291,1247.7813,2777.4244,3.0876,5.8426
6840.53,284.2736,0.0013,0.0281,1259.3946,2774.6768,3.108,5.8263
7000,285.83,0.001352,0.027378,1267.5,2772.6,3.122,5.8148
7061.16,286.4181,0.0014,0.0271,1270.8014,2771.8311,3.1279,5.8103
7281.79,288.5119,0.0014,0.0262,1282.0145,2768.89,3.1473,5.7946
7502.42,290.5577,0.0014,0.0253,1293.0456,2765.856,3.1664,5.7791
7723.05,292.5579,0.0014,0.0245,1303.9057,2762.7313,3.1851,5.7639
7943.68,294.5149,0.0014,0.0237,1314.6046,2759.5176,3.2034,5.7488
8000,295.01,0.001384,0.023525,1317.1,2758.7,3.2077,5.745
8164.31,296.4306,0.0014,0.023,1325.1518,2756.2166,3.2215,5.7339
8384.94,298.307,0.0014,0.0223,1335.556,2752.8296,3.2391,5.7193
8605.57,300.1459,0.0014,0.0216,1345.8254,2749.3577,3.2565,5.7047
8826.2,301.9489,0.0014,0.021,1355.9675,2745.8018,3.2737,5.6904
9000,303.35,0.001418,0.020489,1363.7,2742.9,3.2866,5.6791
9046.83,303.7176,0.0014,0.0204,1365.9895,2742.1626,3.2905,5.6761
9267.46,305.4534,0.0014,0.0198,1375.8983,2738.4406,3.3071,5.662
9488.09,307.1576,0.0014,0.0192,1385.7002,2734.6362,3.3235,5.648
9708.72,308.8316,0.0014,0.0187,1395.4012,2730.7496,3.3397,5.6341
9929.35,310.4764,0.0015,0.0182,1405.0071,2726.7807,3.3556,5.6203
10000,311,0.001452,0.018028,1407.8,2725.5,3.3603,5.6159
10149.98,312.0932,0.0015,0.0177,1414.5235,2722.7296,3.3713,5.6066
10370.61,313.683,0.0015,0.0172,1423.9554,2718.5958,3.3869,5.593
10591.24,315.2469,0.0015,0.0168,1433.3081,2714.379,3.4022,5.5795
10811.87,316.7856,0.0015,0.0163,1442.5862,2710.0786,3.4174,5.566
11000,318.08,0.001488,0.015988,1450.2,2706.3,3.4299,5.5544
11032.5,318.3001,0.0015,0.0159,1451.7944,2705.6939,3.4325,5.5525
11253.13,319.7912,0.0015,0.0155,1460.9373,2701.224,3.4473,5.5391
11473.76,321.2597,0.0015,0.0151,1470.0191,2696.668,3.4621,5.5257
11694.39,322.7063,0.0015,0.0148,1479.0441,2692.0247,3.4767,5.5124
11915.02,324.1317,0.0015,0.0144,1488.0165,2687.2928,3.4912,5.4991
12000,324.68,0.001526,0.014264,1491.3,2685.4,3.4964,5.4939
12135.65,325.5365,0.0015,0.0141,1496.9404,2682.4708,3.5055,5.4857
12356.28,326.9214,0.0015,0.0137,1505.8196,2677.5572,3.5198,5.4724
12576.91,328.287,0.0015,0.0134,1514.6582,2672.5501,3.5339,5.4591
